region,country,,fertility,rank_wik,rank_prg,pop,GDP_PPP
SSA,Uganda,,4.7,13,13.5,42885900,2481.66666666667
NIS & Russia,Ukraine,,1.22,195,195,41130432,13397.3333333333
Middle East,United Arab Emirates,,1.37,183,184,9282410,71771
Continental Europe,United Kingdom,,1.56,160,161,67081234,48958.6666666667
North America,United States,,1.64,147,147,332800523,66590.3333333333
Latin America,Uruguay,,1.95,119,118,3554915,23673
NIS & Russia,Uzbekistan,,2.9,63,62.5,35609610,7873.33333333333
"Australia, New Zealand & Polynesia",Vanuatu,,3.71,43,43,301295,2973
Latin America,Venezuela,,2.23,94,94.5,28705000,10393.6666666667
South East Asia,Vietnam,,2.05,108,107.5,98505400,9857.66666666667
North America,U.S. Virgin Islands,US,2.03,110,110,#N/A,37000
Middle East,Yemen,,3.61,44,44,30491000,2755.66666666667
SSA,Zambia,,4.5,19,19,18400556,3565.33333333333
SSA,Zimbabwe,,3.46,48,51,15790716,2751.33333333333
